지역명,Education_Center.json,pet_cafe.json,pet_garden.json,pet_hotel.json,Pet_playground.json,pet_salon.json,pet_store.json,together_cafe.json,together_diner.json,반려동물 동반 가능 식당,동물약국,공원 개수,공원 평균 면적,공원 면적 합계,자치구 전체면적,세대,인구,구별 총 생산
강남구,1,9,27,31,4,10,1,9,5,22,203,134,16019.36642,2146595.1,39.5,234233,537800,71852681
강동구,0,4,5,9,2,4,1,4,2,8,85,74,26148.5527,1934992.9,24.59,201613,466472,9348668
강북구,0,3,3,5,0,5,0,6,7,5,69,45,5012.920455,1567125.5,23.6,144536,302563,3283572
강서구,0,7,15,19,1,9,3,7,6,4,99,139,23087.96043,3209226.5,41.44,271175,579768,17458926
관악구,0,3,13,16,0,5,0,1,2,3,76,76,5824.263158,442644.0,29.57,276597,499449,5963769
광진구,1,5,4,7,1,4,0,6,8,7,57,43,1128.609302,48530.2,17.06,167949,352627,6587069
구로구,1,2,1,5,0,1,1,2,1,3,61,49,33526.875,2706855.0,20.12,180929,421163,14090156
금천구,0,3,0,4,0,3,2,2,1,3,40,52,2863.540385,148904.1,13.02,117595,244891,17614623
노원구,0,3,4,10,1,8,0,4,3,4,76,174,10626.00174,13851979.6,35.44,217378,514946,6620672
도봉구,0,1,2,5,1,8,0,3,3,3,49,71,17319.04286,9915333.0,20.65,138656,319373,3404872
동대문구,0,2,1,7,2,2,0,1,0,4,61,44,16768.83636,737828.8,14.22,168219,352006,7555543
동작구,0,2,3,5,1,5,2,3,2,5,50,52,27729.8902,2520626.6,16.35,184812,394364,6527100
마포구,1,6,4,10,1,9,1,23,29,48,90,84,13049.47976,1096156.3,23.85,179861,378686,19943128
서대문구,0,2,5,10,0,3,0,8,6,10,54,55,24922.03273,1370711.8,17.63,143647,315659,8652191
서초구,0,2,11,17,1,5,0,6,8,18,108,114,14757.35,1682337.9,46.98,170244,416167,35570338
성동구,1,0,3,8,0,8,0,3,3,13,108,48,12429.76813,596628.87,16.86,134233,292672,12167850
성북구,0,1,3,7,1,2,1,4,4,5,60,53,21069.17547,1116666.3,24.58,195017,440142,6141921
송파구,0,7,11,24,1,12,2,12,11,9,162,159,14227.09747,3695003.7,33.87,282417,663965,29962528
양천구,0,1,7,12,0,7,2,4,5,4,66,96,13208.81158,2258308.1,17.41,181404,450487,7125314
영등포구,0,0,4,5,1,7,0,5,4,6,83,50,5489.97,274498.5,24.55,187020,400908,36095497
용산구,0,1,4,5,1,5,0,12,17,15,26,42,11851.90476,497780.0,21.87,111036,237285,12695516
은평구,0,4,4,7,1,6,1,5,8,11,85,101,20991.33564,2120124.9,29.71,214711,477173,4919715
종로구,1,1,1,4,0,0,1,4,5,6,56,42,43108.76429,1810568.1,23.91,73494,153789,33780610
중구,0,1,4,2,0,0,1,2,3,5,34,38,6332.624211,240639.72,9.96,63519,131787,53823217
중랑구,1,3,2,13,0,12,0,3,3,4,49,54,21170.20755,3922645.0,18.5,185712,391885,4741739
